"Tanggal","Terakhir","Pembukaan","Tertinggi","Terendah","Vol.","Perubahan%"
"12/08/2024","949.788.032","943.150.976","967.923.008","926.022.016","0,04K","0,70%"
"11/08/2024","943.155.008","976.281.984","988.566.976","938.000.000","0,02K","-3,39%"
"10/08/2024","976.281.984","973.523.968","984.278.976","968.000.000","0,02K","0,28%"
"09/08/2024","973.523.968","985.251.968","985.752.000","955.249.024","0,03K","-1,19%"
"08/08/2024","985.251.968","888.961.984","997.500.032","885.840.000","0,07K","10,83%"
"07/08/2024","888.958.976","909.852.032","930.000.000","881.241.024","0,05K","-2,30%"
"06/08/2024","909.852.032","888.185.984","925.000.000","887.001.024","0,06K","2,44%"
"05/08/2024","888.185.984","950.166.976","950.166.976","820.000.000","0,31K","-6,52%"
"04/08/2024","950.166.976","990.001.024","1.001.348.992","949.940.992","0,06K","-4,10%"
"03/08/2024","990.777.024","1.003.827.008","1.016.998.016","976.587.008","0,08K","-1,21%"
"02/08/2024","1.002.888.000","1.070.009.984","1.071.513.984","1.000.000.000","0,05K","-6,32%"
"01/08/2024","1.070.585.984","1.059.673.024","1.075.623.936","1.020.780.032","0,06K","1,15%"
"31/07/2024","1.058.457.024","1.087.284.992","1.090.000.000","1.056.000.000","0,03K","-2,46%"
"30/07/2024","1.085.102.976","1.094.407.936","1.095.106.944","1.073.625.984","0,04K","-0,88%"
"29/07/2024","1.094.685.056","1.110.004.992","1.135.000.064","1.090.499.968","0,06K","-1,38%"
"28/07/2024","1.110.004.992","1.105.116.032","1.111.212.032","1.091.537.024","0,02K","0,44%"
"27/07/2024","1.105.116.032","1.102.444.032","1.128.050.048","1.090.000.000","0,04K","0,25%"
"26/07/2024","1.102.400.000","1.076.804.992","1.104.999.936","1.076.802.944","0,04K","2,37%"
"25/07/2024","1.076.881.024","1.064.425.984","1.080.000.000","1.040.012.992","0,03K","1,17%"
"24/07/2024","1.064.425.984","1.068.947.968","1.087.394.048","1.063.068.032","0,02K","-0,42%"
